2021-07-12|09:20:18|Organic avocado oil|Whole Foods Market|-17.85
2022-12-30|17:30:05|Bluetooth headphones|Best Buy|-79.99
2023-04-26|08:15:40|Yoga mat|Lulu lemon|-68.00
2021-03-15|13:10:15|Protein powder|GNC|-34.99
2022-09-14|11:05:45|Office chair|Staples|-149.99
2022-11-23|12:10:30|Running shorts|Under Armour|-49.99
2023-02-19|14:55:15|Wireless charger|Apple Store|-59.00
2022-12-09|09:15:45|Air purifier|Home Depot|-199.00
2021-12-16|13:25:50|Plant-based protein|Whole Foods Market|-22.99
2022-01-14|15:40:10|Men's dress shoes|Macy's|-129.99
2021-02-12|11:05:30|Wireless earbuds|Best Buy|-129.99
2021-08-15|14:50:15|Rain jacket|REI|-99.00
2022-04-28|12:40:30|Electric razor|Walmart|-89.00
2022-03-16|15:50:45|Wireless keyboard|Staples|-49.99
2022-06-01|09:10:25|Deposit|Bank of America|+1000.00
2022-10-11|14:15:30|Deposit|Chase Bank|+500.00
2023-02-11|09:10:25|Deposit|Bank of America|+1700.00
2023-03-21|14:15:30|Deposit|Chase Bank|+800.00
2023-04-27|11:20:15|Deposit|Wells Fargo|+1250.00

2023-05-02|22:01:22|Monthly check|Tou|12345667.00
2023-05-02|23:55:44|SAVINGS|Tou|5000.00
2023-05-02|23:56:13|Milk|FoodTown|-10.99
2023-05-04|16:37:08|deposit check|Bank of America|34.0
